State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/2/18,23:00,1/3/18,5:00,0.226,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,0:00,1/3/18,6:00,0.24,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,1:00,1/3/18,7:00,0.237,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,2:00,1/3/18,8:00,0.236,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,3:00,1/3/18,9:00,0.236,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,4:00,1/3/18,10:00,0.203,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,5:00,1/3/18,11:00,0.217,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,6:00,1/3/18,12:00,0.234,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,7:00,1/3/18,13:00,0.315,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,8:00,1/3/18,14:00,0.762,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,9:00,1/3/18,15:00,0.647,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,10:00,1/3/18,16:00,0.525,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,11:00,1/3/18,17:00,0.559,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,12:00,1/3/18,18:00,0.719,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,13:00,1/3/18,19:00,0.501,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,14:00,1/3/18,20:00,0.376,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,15:00,1/3/18,21:00,0.358,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,16:00,1/3/18,22:00,0.309,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,17:00,1/3/18,23:00,0.336,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,18:00,1/4/18,0:00,0.283,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,19:00,1/4/18,1:00,0.265,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,20:00,1/4/18,2:00,0.532,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,21:00,1/4/18,3:00,0.302,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,22:00,1/4/18,4:00,0.306,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/3/18,23:00,1/4/18,5:00,0.635,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,0:00,1/4/18,6:00,0.366,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,1:00,1/4/18,7:00,0.277,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,2:00,1/4/18,8:00,0.344,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,3:00,1/4/18,9:00,0.243,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,4:00,1/4/18,10:00,0.34,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,5:00,1/4/18,11:00,0.536,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,6:00,1/4/18,12:00,0.397,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,7:00,1/4/18,13:00,0.333,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,8:00,1/4/18,14:00,0.359,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,9:00,1/4/18,15:00,0.348,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,10:00,1/4/18,16:00,0.364,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,11:00,1/4/18,17:00,0.311,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,12:00,1/4/18,18:00,0.163,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,13:00,1/4/18,19:00,0.204,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,14:00,1/4/18,20:00,0.566,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,15:00,1/4/18,21:00,0.35,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,16:00,1/4/18,22:00,0.48,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,17:00,1/4/18,23:00,0.942,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,18:00,1/5/18,0:00,0.927,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,19:00,1/5/18,1:00,0.702,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,20:00,1/5/18,2:00,0.417,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,21:00,1/5/18,3:00,0.393,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,22:00,1/5/18,4:00,0.532,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/4/18,23:00,1/5/18,5:00,0.56,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,0:00,1/5/18,6:00,0.74,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,1:00,1/5/18,7:00,0.548,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,2:00,1/5/18,8:00,0.722,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,3:00,1/5/18,9:00,0.489,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,4:00,1/5/18,10:00,0.66,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,5:00,1/5/18,11:00,0.644,Parts per million
