id,place,time,o3,pm2.5,no2,pm10
831,8,6/30/18 21:00,0.034,26.2,NULL,NULL
845,9,6/30/18 21:00,0.041,NULL,5.3,NULL
859,10,6/30/18 22:00,0.037,NULL,6.5,NULL
873,10,6/30/18 22:00,NULL,NULL,NULL,7
883,10,6/30/18 22:00,0.038,19,NULL,NULL
897,10,6/30/18 22:00,0.036,22.4,NULL,NULL
911,10,6/30/18 22:00,0.042,NULL,5.3,NULL
985,10,6/30/18 23:00,0.034,NULL,7.5,NULL
999,10,6/30/18 23:00,NULL,NULL,NULL,17
1023,10,6/30/18 23:00,0.036,14.2,NULL,NULL
1037,10,6/30/18 23:00,0.034,11.5,NULL,NULL
1051,10,6/30/18 23:00,0.041,NULL,10,NULL
